Geography,Estimate; Total
"Albany County, New York",307891
"Allegany County, New York",47700
"Bronx County, New York",1436785
"Broome County, New York",197381
"Cattaraugus County, New York",78506
"Cayuga County, New York",78783
"Chautauqua County, New York",131748
"Chemung County, New York",87742
"Chenango County, New York",49286
"Clinton County, New York",81505
"Columbia County, New York",61860
"Cortland County, New York",48713
"Delaware County, New York",46480
"Dutchess County, New York",295905
"Erie County, New York",922129
"Essex County, New York",38598
"Franklin County, New York",51007
"Fulton County, New York",54297
"Genesee County, New York",59053
"Greene County, New York",48069
"Hamilton County, New York",4697
"Herkimer County, New York",63558
"Jefferson County, New York",117966
"Kings County, New York",2606852
"Lewis County, New York",27107
"Livingston County, New York",64622
"Madison County, New York",72089
"Monroe County, New York",749236
"Montgomery County, New York",49667
"Nassau County, New York",1356801
"New York County, New York",1634989
"Niagara County, New York",213374
"Oneida County, New York",232858
"Onondaga County, New York",468050
"Ontario County, New York",109450
"Orange County, New York",376242
"Orleans County, New York",41938
"Oswego County, New York",120513
"Otsego County, New York",60979
"Putnam County, New York",99408
"Queens County, New York",2310011
"Rensselaer County, New York",159959
"Richmond County, New York",473324
"Rockland County, New York",322642
"St. Lawrence County, New York",111529
"Saratoga County, New York",224929
"Schenectady County, New York",154845
"Schoharie County, New York",31667
"Schuyler County, New York",18336
"Seneca County, New York",35036
"Steuben County, New York",98151
"Suffolk County, New York",1498130
"Sullivan County, New York",75818
"Tioga County, New York",49649
"Tompkins County, New York",104268
"Ulster County, New York",180505
"Warren County, New York",64911
"Washington County, New York",62465
"Wayne County, New York",91874
"Westchester County, New York",969229
"Wyoming County, New York",41239
"Yates County, New York",25106